participant_id;word;response;trial_order;response_order;rt;age;gender;other_languages
174973;bello;tinke;7;response2;127610,50000000000;21;male;english
952932;bello;beauf;4;response1;134053,70000000001;20;female;english, spanish
639301;bello;godich;5;response3;98449,80000019071;22;female;english
333916;bello;gemautstch;7;response1;55420,00000000000;21;female;english, french
946492;bello;whottu;6;response2;93500,99999999990;19;female;english
832546;bello;porestrerb;7;response1;88848,30000001191;20;female;spanish
835852;bello;perthal;4;response1;37258,29999923710;19;female;english
968251;bello;triset;1;response2;32549,30000019070;20;female;english, french, spanish
832546;bello;bellkert;7;response3;88848,30000001191;20;female;spanish
543445;bello;fruthe;8;response2;38947,00000000000;19;female;english, spanish
189658;bello;beik;0;response3;94081,10000014309;20;female;english, french
803184;bello;schon;7;response1;13810,90000009540;20;NA;english, spanish
180274;bello;frekon;0;response3;23637,90000000600;20;female;english, spanish
768043;bello;brouf;8;response1;52737,00000000000;19;male;english
823319;bello;tronden;11;response2;85493,59999999400;19;female;english
476861;bello;konylemmer;3;response3;131301,00000000000;20;female;english
365106;bello;magribbe;9;response3;31359,79999999990;19;female;english
946492;bello;mingten;6;response1;93500,99999999990;19;female;english
936425;bello;tikken;9;response3;68907,30000000070;21;female;english, french
809330;bello;groften;1;response2;38005,00000000000;21;female;english
82936;bello;grutten;5;response1;81746,60000038150;21;female;english, french, spanish
968251;bello;gherwzain;1;response3;32549,30000019070;20;female;english, french, spanish
359526;bello;goodde;10;response3;78892,39999985691;21;female;english
430167;bello;gotch;11;response3;97046,00000000000;19;female;english, french, spanish
189658;bello;bain;0;response2;94081,10000014309;20;female;english, french
427482;bello;berth;11;response3;234183,50000000000;19;female;bergamasque, english, french
803184;bello;schon;7;response3;13810,90000009540;20;NA;english, spanish
180274;bello;krufen;0;response2;23637,90000000600;20;female;english, spanish
577133;bello;belker;10;response3;33439,50000000000;20;female;english
365106;bello;weberstag;9;response2;31359,79999999990;19;female;english
365106;bello;frituk;9;response1;31359,79999999990;19;female;english
476861;bello;bushtapak;3;response2;131301,00000000000;20;female;english
166415;bello;schern;2;response1;67302,20000000010;19;female;albanian, english, french
557299;bello;shor;0;response3;78711,00000000000;19;female;english
467222;bello;brozuen;2;response1;124593,50000000000;19;female;english, spanish
968251;bello;wirzen;1;response1;32549,30000019070;20;female;english, french, spanish
936425;bello;trigtka;9;response2;68907,30000000070;21;female;english, french
909160;bello;gooden;2;response1;46042,50000000000;21;female;none
82936;bello;belluschen;5;response3;81746,60000038150;21;female;english, french, spanish
333916;bello;ballesh;7;response2;55420,00000000000;21;female;english, french
823319;bello;mentzel;11;response3;85493,59999999400;19;female;english
475244;bello;belizen;11;response3;49791,80000001190;20;female;english
577133;bello;wunderk;10;response2;33439,50000000000;20;female;english
